toclevel	level	line	number	index	fromtitle	byteoffset	anchor	revid	date	time
2	3	Gypsies	2.6	8	Race_and_intelligence	18771	Gypsies	414567	22/05/2016	22:41:42Z
2	3	Immigrants	2.7	9	Race_and_intelligence	19318	Immigrants	414567	22/05/2016	22:41:42Z
2	3	Historical differences	2.8	10	Race_and_intelligence	19881	Historical_differences	414567	22/05/2016	22:41:42Z
2	3	Related variables	2.9	11	Race_and_intelligence	20556	Related_variables	414567	22/05/2016	22:41:42Z
1	2	General race and intelligence research issues	3	12	Race_and_intelligence	20898	General_race_and_intelligence_research_issues	414567	22/05/2016	22:41:42Z
2	3	Ad hominem, straw men, and guilt by association	3.1	13	Race_and_intelligence	20950	Ad_hominem.2C_straw_men.2C_and_guilt_by_association	414567	22/05/2016	22:41:42Z
2	3	Race research and the origin of racism	3.2	14	Race_and_intelligence	24349	Race_research_and_the_origin_of_racism	414567	22/05/2016	22:41:42Z
2	3	The existence of races	3.3	15	Race_and_intelligence	24500	The_existence_of_races	414567	22/05/2016	22:41:42Z
1	2	The genetics or not debate	4	16	Race_and_intelligence	26332	The_genetics_or_not_debate	414567	22/05/2016	22:41:42Z
2	3	Opinion of experts in 1987	4.1	17	Race_and_intelligence	27924	Opinion_of_experts_in_1987	414567	22/05/2016	22:41:42Z
2	3	Opinion of experts in 2013	4.2	18	Race_and_intelligence	29186	Opinion_of_experts_in_2013	414567	22/05/2016	22:41:42Z
1	2	Evolutionary explanations for racial differences	5	19	Race_and_intelligence	30830	Evolutionary_explanations_for_racial_differences	414567	22/05/2016	22:41:42Z
1	2	Race, sex, and intelligence	6	20	Race_and_intelligence	38654	Race.2C_sex.2C_and_intelligence	414567	22/05/2016	22:41:42Z
1	2	Interventions affecting IQ	7	21	Race_and_intelligence	39515	Interventions_affecting_IQ	414567	22/05/2016	22:41:42Z
1	2	Significance of IQ differences	8	22	Race_and_intelligence	40787	Significance_of_IQ_differences	414567	22/05/2016	22:41:42Z
2	3	Significance of IQ and g	8.1	23	Race_and_intelligence	40824	Significance_of_IQ_and_g	414567	22/05/2016	22:41:42Z
2	3	Significance of environmentally caused IQ changes	8.2	24	Race_and_intelligence	44032	Significance_of_environmentally_caused_IQ_changes	414567	22/05/2016	22:41:42Z
2	3	Very low average IQ values	8.3	25	Race_and_intelligence	44495	Very_low_average_IQ_values	414567	22/05/2016	22:41:42Z
2	3	Historical societies	8.4	26	Race_and_intelligence	45373	Historical_societies	414567	22/05/2016	22:41:42Z
2	3	Modern societies	8.5	27	Race_and_intelligence	52670	Modern_societies	414567	22/05/2016	22:41:42Z
2	3	Future	8.6	28	Race_and_intelligence	59570	Future	414567	22/05/2016	22:41:42Z
1	2	External links	9	29	Race_and_intelligence	59901	External_links	414567	22/05/2016	22:41:42Z
2	3	Article archives	9.1	30	Race_and_intelligence	59922	Article_archives	414567	22/05/2016	22:41:42Z
1	2	References	10	T-1	Template:References		References	414567	22/05/2016	22:41:42Z
1	2	History	1	1	Race_and_intelligence	526	History	414566	22/05/2016	22:37:36Z
1	2	Measured average IQs	2	2	Race_and_intelligence	6859	Measured_average_IQs	414566	22/05/2016	22:37:36Z
2	3	Worldwide	2.1	3	Race_and_intelligence	7098	Worldwide	414566	22/05/2016	22:37:36Z
2	3	World average IQ	2.2	4	Race_and_intelligence	11292	World_average_IQ	414566	22/05/2016	22:37:36Z
2	3	United States Black-White gap	2.3	5	Race_and_intelligence	11610	United_States_Black-White_gap	414566	22/05/2016	22:37:36Z
2	3	"Hispanics"	2.4	6	Race_and_intelligence	18256	.22Hispanics.22	414566	22/05/2016	22:37:36Z
2	3	Jews	2.5	7	Race_and_intelligence	18726	Jews	414566	22/05/2016	22:37:36Z
2	3	Gypsies	2.6	8	Race_and_intelligence	18771	Gypsies	414566	22/05/2016	22:37:36Z
2	3	Immigrants	2.7	9	Race_and_intelligence	19318	Immigrants	414566	22/05/2016	22:37:36Z
2	3	Historical differences	2.8	10	Race_and_intelligence	19881	Historical_differences	414566	22/05/2016	22:37:36Z
2	3	Related variables	2.9	11	Race_and_intelligence	20556	Related_variables	414566	22/05/2016	22:37:36Z
1	2	General race and intelligence research issues	3	12	Race_and_intelligence	20898	General_race_and_intelligence_research_issues	414566	22/05/2016	22:37:36Z
2	3	Ad hominem, straw men, and guilt by association	3.1	13	Race_and_intelligence	20950	Ad_hominem.2C_straw_men.2C_and_guilt_by_association	414566	22/05/2016	22:37:36Z
2	3	Race research and the origin of racism	3.2	14	Race_and_intelligence	24349	Race_research_and_the_origin_of_racism	414566	22/05/2016	22:37:36Z
2	3	The existence of races	3.3	15	Race_and_intelligence	24500	The_existence_of_races	414566	22/05/2016	22:37:36Z
1	2	The genetics or not debate	4	16	Race_and_intelligence	26332	The_genetics_or_not_debate	414566	22/05/2016	22:37:36Z
2	3	Opinion of experts in 1987	4.1	17	Race_and_intelligence	27924	Opinion_of_experts_in_1987	414566	22/05/2016	22:37:36Z
2	3	Opinion of experts in 2013	4.2	18	Race_and_intelligence	29186	Opinion_of_experts_in_2013	414566	22/05/2016	22:37:36Z
1	2	Evolutionary explanations for racial differences	5	19	Race_and_intelligence	30830	Evolutionary_explanations_for_racial_differences	414566	22/05/2016	22:37:36Z
1	2	Race, sex, and intelligence	6	20	Race_and_intelligence	38654	Race.2C_sex.2C_and_intelligence	414566	22/05/2016	22:37:36Z
1	2	Interventions affecting IQ	7	21	Race_and_intelligence	39515	Interventions_affecting_IQ	414566	22/05/2016	22:37:36Z
1	2	Significance of IQ differences	8	22	Race_and_intelligence	40787	Significance_of_IQ_differences	414566	22/05/2016	22:37:36Z
2	3	Significance of IQ and g	8.1	23	Race_and_intelligence	40824	Significance_of_IQ_and_g	414566	22/05/2016	22:37:36Z
2	3	Significance of environmentally caused IQ changes	8.2	24	Race_and_intelligence	44032	Significance_of_environmentally_caused_IQ_changes	414566	22/05/2016	22:37:36Z
2	3	Very low average IQ values	8.3	25	Race_and_intelligence	44495	Very_low_average_IQ_values	414566	22/05/2016	22:37:36Z
2	3	Historical societies	8.4	26	Race_and_intelligence	45373	Historical_societies	414566	22/05/2016	22:37:36Z
2	3	Modern societies	8.5	27	Race_and_intelligence	52670	Modern_societies	414566	22/05/2016	22:37:36Z
2	3	Future	8.6	28	Race_and_intelligence	59435	Future	414566	22/05/2016	22:37:36Z
1	2	External links	9	29	Race_and_intelligence	59766	External_links	414566	22/05/2016	22:37:36Z
2	3	Article archives	9.1	30	Race_and_intelligence	59787	Article_archives	414566	22/05/2016	22:37:36Z
1	2	References	10	T-1	Template:References		References	414566	22/05/2016	22:37:36Z
1	2	History	1	1	Race_and_intelligence	526	History	413227	27/04/2016	15:14:08Z
1	2	Measured average IQs	2	2	Race_and_intelligence	6859	Measured_average_IQs	413227	27/04/2016	15:14:08Z
2	3	Worldwide	2.1	3	Race_and_intelligence	7098	Worldwide	413227	27/04/2016	15:14:08Z
2	3	World average IQ	2.2	4	Race_and_intelligence	11292	World_average_IQ	413227	27/04/2016	15:14:08Z
2	3	United States Black-White gap	2.3	5	Race_and_intelligence	11610	United_States_Black-White_gap	413227	27/04/2016	15:14:08Z
2	3	"Hispanics"	2.4	6	Race_and_intelligence	18256	.22Hispanics.22	413227	27/04/2016	15:14:08Z
2	3	Jews	2.5	7	Race_and_intelligence	18726	Jews	413227	27/04/2016	15:14:08Z
2	3	Gypsies	2.6	8	Race_and_intelligence	18771	Gypsies	413227	27/04/2016	15:14:08Z
2	3	Immigrants	2.7	9	Race_and_intelligence	19318	Immigrants	413227	27/04/2016	15:14:08Z
2	3	Historical differences	2.8	10	Race_and_intelligence	19881	Historical_differences	413227	27/04/2016	15:14:08Z
2	3	Related variables	2.9	11	Race_and_intelligence	20556	Related_variables	413227	27/04/2016	15:14:08Z
1	2	General race and intelligence research issues	3	12	Race_and_intelligence	20898	General_race_and_intelligence_research_issues	413227	27/04/2016	15:14:08Z
2	3	Ad hominem, straw men, and guilt by association	3.1	13	Race_and_intelligence	20950	Ad_hominem.2C_straw_men.2C_and_guilt_by_association	413227	27/04/2016	15:14:08Z
2	3	Race research and the origin of racism	3.2	14	Race_and_intelligence	24349	Race_research_and_the_origin_of_racism	413227	27/04/2016	15:14:08Z
2	3	The existence of races	3.3	15	Race_and_intelligence	24500	The_existence_of_races	413227	27/04/2016	15:14:08Z
1	2	The genetics or not debate	4	16	Race_and_intelligence	26332	The_genetics_or_not_debate	413227	27/04/2016	15:14:08Z
2	3	Opinion of experts in 1987	4.1	17	Race_and_intelligence	27924	Opinion_of_experts_in_1987	413227	27/04/2016	15:14:08Z
2	3	Opinion of experts in 2013	4.2	18	Race_and_intelligence	29186	Opinion_of_experts_in_2013	413227	27/04/2016	15:14:08Z
1	2	Evolutionary explanations for racial differences	5	19	Race_and_intelligence	30830	Evolutionary_explanations_for_racial_differences	413227	27/04/2016	15:14:08Z
1	2	Race, sex, and intelligence	6	20	Race_and_intelligence	37975	Race.2C_sex.2C_and_intelligence	413227	27/04/2016	15:14:08Z
1	2	Interventions affecting IQ	7	21	Race_and_intelligence	38836	Interventions_affecting_IQ	413227	27/04/2016	15:14:08Z
1	2	Significance of IQ differences	8	22	Race_and_intelligence	40108	Significance_of_IQ_differences	413227	27/04/2016	15:14:08Z
2	3	Significance of IQ and g	8.1	23	Race_and_intelligence	40145	Significance_of_IQ_and_g	413227	27/04/2016	15:14:08Z
2	3	Significance of environmentally caused IQ changes	8.2	24	Race_and_intelligence	43353	Significance_of_environmentally_caused_IQ_changes	413227	27/04/2016	15:14:08Z
2	3	Very low average IQ values	8.3	25	Race_and_intelligence	43816	Very_low_average_IQ_values	413227	27/04/2016	15:14:08Z
2	3	Historical societies	8.4	26	Race_and_intelligence	44694	Historical_societies	413227	27/04/2016	15:14:08Z
2	3	Modern societies	8.5	27	Race_and_intelligence	51991	Modern_societies	413227	27/04/2016	15:14:08Z
2	3	Future	8.6	28	Race_and_intelligence	58756	Future	413227	27/04/2016	15:14:08Z
1	2	External links	9	29	Race_and_intelligence	59087	External_links	413227	27/04/2016	15:14:08Z
2	3	Article archives	9.1	30	Race_and_intelligence	59108	Article_archives	413227	27/04/2016	15:14:08Z
1	2	References	10	T-1	Template:References		References	413227	27/04/2016	15:14:08Z
1	2	History	1	1	Race_and_intelligence	526	History	411032	11/03/2016	16:15:19Z
1	2	Measured average IQs	2	2	Race_and_intelligence	6859	Measured_average_IQs	411032	11/03/2016	16:15:19Z
2	3	Worldwide	2.1	3	Race_and_intelligence	7098	Worldwide	411032	11/03/2016	16:15:19Z
2	3	World average IQ	2.2	4	Race_and_intelligence	11292	World_average_IQ	411032	11/03/2016	16:15:19Z
2	3	United States Black-White gap	2.3	5	Race_and_intelligence	11610	United_States_Black-White_gap	411032	11/03/2016	16:15:19Z
2	3	"Hispanics"	2.4	6	Race_and_intelligence	18256	.22Hispanics.22	411032	11/03/2016	16:15:19Z
2	3	Jews	2.5	7	Race_and_intelligence	18726	Jews	411032	11/03/2016	16:15:19Z
2	3	Gypsies	2.6	8	Race_and_intelligence	18771	Gypsies	411032	11/03/2016	16:15:19Z
2	3	Immigrants	2.7	9	Race_and_intelligence	19318	Immigrants	411032	11/03/2016	16:15:19Z
2	3	Historical differences	2.8	10	Race_and_intelligence	19881	Historical_differences	411032	11/03/2016	16:15:19Z
2	3	Related variables	2.9	11	Race_and_intelligence	20467	Related_variables	411032	11/03/2016	16:15:19Z
1	2	General race and intelligence research issues	3	12	Race_and_intelligence	20809	General_race_and_intelligence_research_issues	411032	11/03/2016	16:15:19Z
2	3	Ad hominem, straw men, and guilt by association	3.1	13	Race_and_intelligence	20861	Ad_hominem.2C_straw_men.2C_and_guilt_by_association	411032	11/03/2016	16:15:19Z
2	3	Race research and the origin of racism	3.2	14	Race_and_intelligence	24260	Race_research_and_the_origin_of_racism	411032	11/03/2016	16:15:19Z
2	3	The existence of races	3.3	15	Race_and_intelligence	24411	The_existence_of_races	411032	11/03/2016	16:15:19Z
1	2	The genetics or not debate	4	16	Race_and_intelligence	26243	The_genetics_or_not_debate	411032	11/03/2016	16:15:19Z
2	3	Opinion of experts in 1987	4.1	17	Race_and_intelligence	27835	Opinion_of_experts_in_1987	411032	11/03/2016	16:15:19Z
2	3	Opinion of experts in 2013	4.2	18	Race_and_intelligence	29097	Opinion_of_experts_in_2013	411032	11/03/2016	16:15:19Z
1	2	Evolutionary explanations for racial differences	5	19	Race_and_intelligence	30741	Evolutionary_explanations_for_racial_differences	411032	11/03/2016	16:15:19Z
1	2	Race, sex, and intelligence	6	20	Race_and_intelligence	37717	Race.2C_sex.2C_and_intelligence	411032	11/03/2016	16:15:19Z
1	2	Interventions affecting IQ	7	21	Race_and_intelligence	38578	Interventions_affecting_IQ	411032	11/03/2016	16:15:19Z
1	2	Significance of IQ differences	8	22	Race_and_intelligence	39850	Significance_of_IQ_differences	411032	11/03/2016	16:15:19Z
2	3	Significance of IQ and g	8.1	23	Race_and_intelligence	39887	Significance_of_IQ_and_g	411032	11/03/2016	16:15:19Z
2	3	Significance of environmentally caused IQ changes	8.2	24	Race_and_intelligence	43095	Significance_of_environmentally_caused_IQ_changes	411032	11/03/2016	16:15:19Z
2	3	Very low average IQ values	8.3	25	Race_and_intelligence	43558	Very_low_average_IQ_values	411032	11/03/2016	16:15:19Z
2	3	Historical societies	8.4	26	Race_and_intelligence	44436	Historical_societies	411032	11/03/2016	16:15:19Z
2	3	Modern societies	8.5	27	Race_and_intelligence	51733	Modern_societies	411032	11/03/2016	16:15:19Z
2	3	Future	8.6	28	Race_and_intelligence	58498	Future	411032	11/03/2016	16:15:19Z
1	2	External links	9	29	Race_and_intelligence	58829	External_links	411032	11/03/2016	16:15:19Z
2	3	Article archives	9.1	30	Race_and_intelligence	58850	Article_archives	411032	11/03/2016	16:15:19Z
1	2	References	10	T-1	Template:References		References	411032	11/03/2016	16:15:19Z
1	2	History	1	1	Race_and_intelligence	526	History	409769	14/02/2016	08:32:39Z
1	2	Measured average IQs	2	2	Race_and_intelligence	6859	Measured_average_IQs	409769	14/02/2016	08:32:39Z
2	3	Worldwide	2.1	3	Race_and_intelligence	7098	Worldwide	409769	14/02/2016	08:32:39Z
2	3	World average IQ	2.2	4	Race_and_intelligence	11292	World_average_IQ	409769	14/02/2016	08:32:39Z
2	3	United States Black-White gap	2.3	5	Race_and_intelligence	11610	United_States_Black-White_gap	409769	14/02/2016	08:32:39Z
2	3	"Hispanics"	2.4	6	Race_and_intelligence	18256	.22Hispanics.22	409769	14/02/2016	08:32:39Z
2	3	Jews	2.5	7	Race_and_intelligence	18726	Jews	409769	14/02/2016	08:32:39Z
2	3	Gypsies	2.6	8	Race_and_intelligence	18771	Gypsies	409769	14/02/2016	08:32:39Z
2	3	Immigrants	2.7	9	Race_and_intelligence	19318	Immigrants	409769	14/02/2016	08:32:39Z
2	3	Historical differences	2.8	10	Race_and_intelligence	19881	Historical_differences	409769	14/02/2016	08:32:39Z
2	3	Related variables	2.9	11	Race_and_intelligence	20467	Related_variables	409769	14/02/2016	08:32:39Z
1	2	General race and intelligence research issues	3	12	Race_and_intelligence	20809	General_race_and_intelligence_research_issues	409769	14/02/2016	08:32:39Z
2	3	Ad hominem, straw men, and guilt by association	3.1	13	Race_and_intelligence	20861	Ad_hominem.2C_straw_men.2C_and_guilt_by_association	409769	14/02/2016	08:32:39Z
2	3	Race research and the origin of racism	3.2	14	Race_and_intelligence	24260	Race_research_and_the_origin_of_racism	409769	14/02/2016	08:32:39Z
2	3	The existence of races	3.3	15	Race_and_intelligence	24411	The_existence_of_races	409769	14/02/2016	08:32:39Z
1	2	The genetics or not debate	4	16	Race_and_intelligence	26243	The_genetics_or_not_debate	409769	14/02/2016	08:32:39Z
2	3	Opinion of experts in 1987	4.1	17	Race_and_intelligence	27835	Opinion_of_experts_in_1987	409769	14/02/2016	08:32:39Z
2	3	Opinion of experts in 2013	4.2	18	Race_and_intelligence	29097	Opinion_of_experts_in_2013	409769	14/02/2016	08:32:39Z
1	2	Evolutionary explanations for racial differences	5	19	Race_and_intelligence	30741	Evolutionary_explanations_for_racial_differences	409769	14/02/2016	08:32:39Z
1	2	Race, sex, and intelligence	6	20	Race_and_intelligence	37717	Race.2C_sex.2C_and_intelligence	409769	14/02/2016	08:32:39Z
1	2	Interventions affecting IQ	7	21	Race_and_intelligence	38578	Interventions_affecting_IQ	409769	14/02/2016	08:32:39Z
1	2	Significance of IQ differences	8	22	Race_and_intelligence	39850	Significance_of_IQ_differences	409769	14/02/2016	08:32:39Z
2	3	Significance of IQ and g	8.1	23	Race_and_intelligence	39887	Significance_of_IQ_and_g	409769	14/02/2016	08:32:39Z
2	3	Significance of environmentally caused IQ changes	8.2	24	Race_and_intelligence	43095	Significance_of_environmentally_caused_IQ_changes	409769	14/02/2016	08:32:39Z
2	3	Very low average IQ values	8.3	25	Race_and_intelligence	43558	Very_low_average_IQ_values	409769	14/02/2016	08:32:39Z
2	3	Historical societies	8.4	26	Race_and_intelligence	44436	Historical_societies	409769	14/02/2016	08:32:39Z
2	3	Modern societies	8.5	27	Race_and_intelligence	51733	Modern_societies	409769	14/02/2016	08:32:39Z
2	3	Future	8.6	28	Race_and_intelligence	58498	Future	409769	14/02/2016	08:32:39Z
1	2	External links	9	29	Race_and_intelligence	58829	External_links	409769	14/02/2016	08:32:39Z
2	3	Article archives	9.1	30	Race_and_intelligence	58850	Article_archives	409769	14/02/2016	08:32:39Z
1	2	References	10	T-1	Template:References		References	409769	14/02/2016	08:32:39Z
1	2	History	1	1	Race_and_intelligence	526	History	409737	13/02/2016	07:01:47Z
1	2	Measured average IQs	2	2	Race_and_intelligence	6859	Measured_average_IQs	409737	13/02/2016	07:01:47Z
2	3	Worldwide	2.1	3	Race_and_intelligence	7098	Worldwide	409737	13/02/2016	07:01:47Z
2	3	World average IQ	2.2	4	Race_and_intelligence	11292	World_average_IQ	409737	13/02/2016	07:01:47Z
2	3	United States Black-White gap	2.3	5	Race_and_intelligence	11610	United_States_Black-White_gap	409737	13/02/2016	07:01:47Z
2	3	"Hispanics"	2.4	6	Race_and_intelligence	18256	.22Hispanics.22	409737	13/02/2016	07:01:47Z
2	3	Jews	2.5	7	Race_and_intelligence	18726	Jews	409737	13/02/2016	07:01:47Z
2	3	Gypsies	2.6	8	Race_and_intelligence	18771	Gypsies	409737	13/02/2016	07:01:47Z
2	3	Immigrants	2.7	9	Race_and_intelligence	19318	Immigrants	409737	13/02/2016	07:01:47Z
2	3	Historical differences	2.8	10	Race_and_intelligence	19881	Historical_differences	409737	13/02/2016	07:01:47Z
2	3	Related variables	2.9	11	Race_and_intelligence	20467	Related_variables	409737	13/02/2016	07:01:47Z
1	2	General race and intelligence research issues	3	12	Race_and_intelligence	20809	General_race_and_intelligence_research_issues	409737	13/02/2016	07:01:47Z
2	3	Ad hominem, straw men, and guilt by association	3.1	13	Race_and_intelligence	20861	Ad_hominem.2C_straw_men.2C_and_guilt_by_association	409737	13/02/2016	07:01:47Z
2	3	Race research and the origin of racism	3.2	14	Race_and_intelligence	24260	Race_research_and_the_origin_of_racism	409737	13/02/2016	07:01:47Z
2	3	The existence of races	3.3	15	Race_and_intelligence	24411	The_existence_of_races	409737	13/02/2016	07:01:47Z
1	2	The genetics or not debate	4	16	Race_and_intelligence	26243	The_genetics_or_not_debate	409737	13/02/2016	07:01:47Z
2	3	Opinion of experts in 1987	4.1	17	Race_and_intelligence	27835	Opinion_of_experts_in_1987	409737	13/02/2016	07:01:47Z
2	3	Opinion of experts in 2013	4.2	18	Race_and_intelligence	29097	Opinion_of_experts_in_2013	409737	13/02/2016	07:01:47Z
1	2	Evolutionary explanations for racial differences	5	19	Race_and_intelligence	30741	Evolutionary_explanations_for_racial_differences	409737	13/02/2016	07:01:47Z
1	2	Race, sex, and intelligence	6	20	Race_and_intelligence	37717	Race.2C_sex.2C_and_intelligence	409737	13/02/2016	07:01:47Z
1	2	Interventions affecting IQ	7	21	Race_and_intelligence	38578	Interventions_affecting_IQ	409737	13/02/2016	07:01:47Z
1	2	Significance of IQ differences	8	22	Race_and_intelligence	39850	Significance_of_IQ_differences	409737	13/02/2016	07:01:47Z
2	3	Significance of IQ and g	8.1	23	Race_and_intelligence	39887	Significance_of_IQ_and_g	409737	13/02/2016	07:01:47Z
2	3	Significance of environmentally caused IQ changes	8.2	24	Race_and_intelligence	43095	Significance_of_environmentally_caused_IQ_changes	409737	13/02/2016	07:01:47Z
2	3	Very low average IQ values	8.3	25	Race_and_intelligence	43558	Very_low_average_IQ_values	409737	13/02/2016	07:01:47Z
2	3	Historical societies	8.4	26	Race_and_intelligence	44436	Historical_societies	409737	13/02/2016	07:01:47Z
2	3	Modern societies	8.5	27	Race_and_intelligence	51733	Modern_societies	409737	13/02/2016	07:01:47Z
2	3	Future	8.6	28	Race_and_intelligence	58501	Future	409737	13/02/2016	07:01:47Z
1	2	External links	9	29	Race_and_intelligence	58832	External_links	409737	13/02/2016	07:01:47Z
2	3	Article archives	9.1	30	Race_and_intelligence	58853	Article_archives	409737	13/02/2016	07:01:47Z
1	2	References	10	T-1	Template:References		References	409737	13/02/2016	07:01:47Z
1	2	History	1	1	Race_and_intelligence	526	History	409692	10/02/2016	19:40:42Z
1	2	Measured average IQs	2	2	Race_and_intelligence	6859	Measured_average_IQs	409692	10/02/2016	19:40:42Z
2	3	Worldwide	2.1	3	Race_and_intelligence	7098	Worldwide	409692	10/02/2016	19:40:42Z
2	3	World average IQ	2.2	4	Race_and_intelligence	11292	World_average_IQ	409692	10/02/2016	19:40:42Z
2	3	United States Black-White gap	2.3	5	Race_and_intelligence	11610	United_States_Black-White_gap	409692	10/02/2016	19:40:42Z
2	3	"Hispanics"	2.4	6	Race_and_intelligence	18256	.22Hispanics.22	409692	10/02/2016	19:40:42Z
2	3	Jews	2.5	7	Race_and_intelligence	18726	Jews	409692	10/02/2016	19:40:42Z
2	3	Gypsies	2.6	8	Race_and_intelligence	18771	Gypsies	409692	10/02/2016	19:40:42Z
2	3	Immigrants	2.7	9	Race_and_intelligence	19318	Immigrants	409692	10/02/2016	19:40:42Z
2	3	Historical differences	2.8	10	Race_and_intelligence	19881	Historical_differences	409692	10/02/2016	19:40:42Z
2	3	Related variables	2.9	11	Race_and_intelligence	20467	Related_variables	409692	10/02/2016	19:40:42Z
1	2	General race and intelligence research issues	3	12	Race_and_intelligence	20809	General_race_and_intelligence_research_issues	409692	10/02/2016	19:40:42Z
2	3	Ad hominem, straw men, and guilt by association	3.1	13	Race_and_intelligence	20861	Ad_hominem.2C_straw_men.2C_and_guilt_by_association	409692	10/02/2016	19:40:42Z
2	3	Race research and the origin of racism	3.2	14	Race_and_intelligence	24260	Race_research_and_the_origin_of_racism	409692	10/02/2016	19:40:42Z
2	3	The existence of races	3.3	15	Race_and_intelligence	24411	The_existence_of_races	409692	10/02/2016	19:40:42Z
1	2	The genetics or not debate	4	16	Race_and_intelligence	26243	The_genetics_or_not_debate	409692	10/02/2016	19:40:42Z
2	3	Opinion of experts in 1987	4.1	17	Race_and_intelligence	27835	Opinion_of_experts_in_1987	409692	10/02/2016	19:40:42Z
2	3	Opinion of experts in 2013	4.2	18	Race_and_intelligence	29097	Opinion_of_experts_in_2013	409692	10/02/2016	19:40:42Z
1	2	Evolutionary explanations for racial differences	5	19	Race_and_intelligence	30741	Evolutionary_explanations_for_racial_differences	409692	10/02/2016	19:40:42Z
1	2	Race, sex, and intelligence	6	20	Race_and_intelligence	37717	Race.2C_sex.2C_and_intelligence	409692	10/02/2016	19:40:42Z
1	2	Interventions affecting IQ	7	21	Race_and_intelligence	38578	Interventions_affecting_IQ	409692	10/02/2016	19:40:42Z
1	2	Significance of IQ differences	8	22	Race_and_intelligence	39850	Significance_of_IQ_differences	409692	10/02/2016	19:40:42Z
2	3	Significance of IQ and g	8.1	23	Race_and_intelligence	39887	Significance_of_IQ_and_g	409692	10/02/2016	19:40:42Z
2	3	Significance of environmentally caused IQ changes	8.2	24	Race_and_intelligence	43095	Significance_of_environmentally_caused_IQ_changes	409692	10/02/2016	19:40:42Z
2	3	Very low average IQ values	8.3	25	Race_and_intelligence	43558	Very_low_average_IQ_values	409692	10/02/2016	19:40:42Z
2	3	Historical societies	8.4	26	Race_and_intelligence	44436	Historical_societies	409692	10/02/2016	19:40:42Z
2	3	Modern societies	8.5	27	Race_and_intelligence	51733	Modern_societies	409692	10/02/2016	19:40:42Z
2	3	Future	8.6	28	Race_and_intelligence	57865	Future	409692	10/02/2016	19:40:42Z
1	2	External links	9	29	Race_and_intelligence	58196	External_links	409692	10/02/2016	19:40:42Z
2	3	Article archives	9.1	30	Race_and_intelligence	58217	Article_archives	409692	10/02/2016	19:40:42Z
1	2	References	10	T-1	Template:References		References	409692	10/02/2016	19:40:42Z
1	2	History	1	1	Race_and_intelligence	526	History	409586	07/02/2016	18:50:41Z
1	2	Measured average IQs	2	2	Race_and_intelligence	6859	Measured_average_IQs	409586	07/02/2016	18:50:41Z
2	3	Worldwide	2.1	3	Race_and_intelligence	7098	Worldwide	409586	07/02/2016	18:50:41Z
2	3	World average IQ	2.2	4	Race_and_intelligence	11292	World_average_IQ	409586	07/02/2016	18:50:41Z
2	3	United States Black-White gap	2.3	5	Race_and_intelligence	11610	United_States_Black-White_gap	409586	07/02/2016	18:50:41Z
2	3	"Hispanics"	2.4	6	Race_and_intelligence	18256	.22Hispanics.22	409586	07/02/2016	18:50:41Z
2	3	Jews	2.5	7	Race_and_intelligence	18726	Jews	409586	07/02/2016	18:50:41Z
2	3	Gypsies	2.6	8	Race_and_intelligence	18771	Gypsies	409586	07/02/2016	18:50:41Z
2	3	Immigrants	2.7	9	Race_and_intelligence	19318	Immigrants	409586	07/02/2016	18:50:41Z
2	3	Historical differences	2.8	10	Race_and_intelligence	19881	Historical_differences	409586	07/02/2016	18:50:41Z
2	3	Related variables	2.9	11	Race_and_intelligence	20467	Related_variables	409586	07/02/2016	18:50:41Z
1	2	General race and intelligence research issues	3	12	Race_and_intelligence	20809	General_race_and_intelligence_research_issues	409586	07/02/2016	18:50:41Z
2	3	Ad hominem, straw men, and guilt by association	3.1	13	Race_and_intelligence	20861	Ad_hominem.2C_straw_men.2C_and_guilt_by_association	409586	07/02/2016	18:50:41Z
2	3	Race research and the origin of racism	3.2	14	Race_and_intelligence	24260	Race_research_and_the_origin_of_racism	409586	07/02/2016	18:50:41Z
2	3	The existence of races	3.3	15	Race_and_intelligence	24411	The_existence_of_races	409586	07/02/2016	18:50:41Z
1	2	The genetics or not debate	4	16	Race_and_intelligence	26243	The_genetics_or_not_debate	409586	07/02/2016	18:50:41Z
2	3	Opinion of experts in 1987	4.1	17	Race_and_intelligence	27835	Opinion_of_experts_in_1987	409586	07/02/2016	18:50:41Z
2	3	Opinion of experts in 2013	4.2	18	Race_and_intelligence	29097	Opinion_of_experts_in_2013	409586	07/02/2016	18:50:41Z
1	2	Evolutionary explanations for racial differences	5	19	Race_and_intelligence	30741	Evolutionary_explanations_for_racial_differences	409586	07/02/2016	18:50:41Z
1	2	Race, sex, and intelligence	6	20	Race_and_intelligence	37717	Race.2C_sex.2C_and_intelligence	409586	07/02/2016	18:50:41Z
1	2	Interventions affecting IQ	7	21	Race_and_intelligence	38578	Interventions_affecting_IQ	409586	07/02/2016	18:50:41Z
1	2	Significance of IQ differences	8	22	Race_and_intelligence	39850	Significance_of_IQ_differences	409586	07/02/2016	18:50:41Z
2	3	Significance of IQ and g	8.1	23	Race_and_intelligence	39887	Significance_of_IQ_and_g	409586	07/02/2016	18:50:41Z
2	3	Significance of environmentally caused IQ changes	8.2	24	Race_and_intelligence	43095	Significance_of_environmentally_caused_IQ_changes	409586	07/02/2016	18:50:41Z
